Antena A01 0003
Antena A02 0001
Antena A03 0002
Conectar 01 A01 0001
Conectar 02 A01 0001
Conectar 03 A02 0001
Conectar 04 A02 0002
Conectar 05 A03 0003
Conectar 06 A03 0005
Inicio 01 03 0005
Inicio 04 05 0005
Fin 04 05 0005
Inicio 06 02 0010
Conectar 07 A03 0010
Inicio 07 02 0015
Fin 07 02 0015
Fin 01 03 0020
Desconectar 01 A01 0025
Conectar 09 A01 0025
Inicio 07 09 0030
Inicio 04 08 0035
Fin 04 08 0035
Fin 06 02 0035
Inicio 03 04 0040
Inicio 02 05 0045
Conectar 01 A01 0045
Desconectar 02 A01 0050
Fin 02 05 0051
Inicio 01 06 0055
Desconectar 06 A03 0060
Conectar 06 A02 0060
Conectar 02 A01 0060
Inicio 05 02 0065
Desconectar 03 A02 0070
Fin 03 04 0070
Desconectar 07 A03 0075
Conectar 07 A02 0075
Fin 07 09 0075
Fin 01 06 0080
Fin 05 02 0085
Conectar 10 A01 0090
